date,concept,type,stock_cord,stock_usd,flow_cord,flow_usd
2020-06-01,Gastos de la propiedad,ejecutado,2406026826.33,70321610,1157827830.1599998,33840153.313
2020-09-01,Gastos de la propiedad,ejecutado,3698955775.23,107314427,1292928948.9,37510567.1951
2005-03-01,Gastos totales,ejecutado,3275741127.93,199390110,3275741127.93,199390110.16
2005-06-01,Gastos totales,ejecutado,7855707138.95,472417131,4579966011.02,275424524.21
2005-09-01,Gastos totales,ejecutado,11730209548.31,696779513,3874502409.3599997,230147116.29
2005-12-01,Gastos totales,ejecutado,18343414384.22,1076385236,6613204835.910002,388060581.2
2006-03-01,Gastos totales,ejecutado,4211229292.06,244125885,4211229292.06,244125884.96
2006-06-01,Gastos totales,ejecutado,8920909468.29,510928413,4709680176.230001,269738127.76
2006-09-01,Gastos totales,ejecutado,13590359730.19,768900449,4669450261.9,264183029.29
2006-12-01,Gastos totales,ejecutado,21157968383.42,1182420468,7567608653.229998,422918458.17
2007-03-01,Gastos totales,ejecutado,4858448486.86,268233586,4858448486.86,268233586.33
2007-06-01,Gastos totales,ejecutado,9571558125.65,522088754,4713109638.79,257080561.84
2007-09-01,Gastos totales,ejecutado,15088112537.76,812989138,5516554412.110001,297247174.28
2007-12-01,Gastos totales,ejecutado,23819333733.35,1267764410,8731221195.589998,464712053.16
2008-03-01,Gastos totales,ejecutado,5386672913.83,283220736,5386672913.83,283220736.48
2008-06-01,Gastos totales,ejecutado,12375046212.02,642810408,6988373298.190001,363004631.83
2008-09-01,Gastos totales,ejecutado,19581180803.34,1004795512,7206134591.32,369778093
2008-12-01,Gastos totales,ejecutado,28182239877.91,1428525185,8601059074.57,435977749.17
2009-03-01,Gastos totales,ejecutado,6799920156.14,340518515,6799920156.14,340518514.55
2009-06-01,Gastos totales,ejecutado,13585068990.53,672117263,6785148834.39,335693228.09
2009-09-01,Gastos totales,ejecutado,20742691780.79,1013762730,7157622790.26,349816277.33
2009-12-01,Gastos totales,ejecutado,29870607192.59,1442030134,9127915411.8,440658236.45
2010-03-01,Gastos totales,ejecutado,7622873460.89,363551863,7622873460.89,363551862.94
2010-06-01,Gastos totales,ejecutado,14201162958.91,669141055,6578289498.0199995,309960781.83
2010-09-01,Gastos totales,ejecutado,21171262035.35,985436684,6970099076.439999,324429942.3
2010-12-01,Gastos totales,ejecutado,31762592883.28,1460350485,10591330847.93,486958202.51
2011-03-01,Gastos totales,ejecutado,8178186760.12,371462849,8178186760.12,371462849.19
2011-06-01,Gastos totales,ejecutado,16806321636.46,754183815,8628134876.34,387187620.01
2011-09-01,Gastos totales,ejecutado,25719239820.83,1140120613,8912918184.370003,395105057.97
2011-12-01,Gastos totales,ejecutado,36698822053.39,1606955512,10979582232.559998,480770204.65
2012-03-01,Gastos totales,ejecutado,10747511173.25,464895336,10747511173.25,464895336.07
2012-06-01,Gastos totales,ejecutado,19559444904.71,835863626,8811933731.46,376573819.67
2012-09-01,Gastos totales,ejecutado,28807638370.03,1216155664,9248193465.32,390425716.82
2012-12-01,Gastos totales,ejecutado,42490728351.2,1771941689,13683089981.169998,570610072.25
2013-03-01,Gastos totales,ejecutado,10987002845.24,452646266,10987002845.24,452646265.92
